tileid,parenttile_id,resourceinstance_id,Anglicized name,Name in Roman (with diacritical marks),Alternative name(s),Name in Devanagari,sortorder,provisionaledits,nodegroup_id
104de3fc-3a06-4d2d-a8e4-c80c3eaba7b4,None,1cfe28d3-c6cb-4d26-8f94-f3e189e7a502,,Junbesi Manor,,जुनबेँसीमा रहेको विशाल घर || SOL0120,0,,27b6916c-9323-11e9-a015-0242ac120006
3ab98bb8-0e84-4b8d-8d26-9988352264eb,None,1d95833c-6cbe-4f96-be3c-fad253fe5f27,Bhurti group of three śikharas,Bhurtī group of three śikharas (13th-15th cent.),"<p>Bhurtī Devala</p>

<p>Bhurtī Pa&ntilde;cadevala</p>

<p>Bhurtī Mandira</p>
",भुर्टी तिन् डेवल्हरु || DLK0014,0,,27b6916c-9323-11e9-a015-0242ac120006
4e934fdb-7349-4080-8789-501cc38360d5,None,1dd2eee2-de1b-48ee-948f-2b2e337b8188,Ajayamerukota Fortress,Ajayamerukoṭa Fortress (late 14th cent.),"<p>Ajayamerukoṭa</p>
",DDL0180,0,,27b6916c-9323-11e9-a015-0242ac120006
b5bfa388-d987-47af-b9e4-4b6450dfbc5a,None,1e2335a0-f62a-11e9-a3c8-0242ac130002,Agnimath,Agnimaṭha (before 1403 CE),"<p>Agĩmathaḥ, Agniśālā</p>
",अग्निमठ |*| LAL0280,0,,27b6916c-9323-11e9-a015-0242ac120006
09d075f7-7a96-44ff-8ac6-65e7fde34761,None,1e4bfd8c-dc8a-11e9-81a8-0242ac140006,Shvetabhairav Temple,Śvetabhairava Mandira (1727 CE),"<p>Bhairava</p>

<p>Koṭarākṣabhairava (inscription)</p>
",श्वेतभैरव || LAL0100,0,,27b6916c-9323-11e9-a015-0242ac120006
5096c1eb-842a-47c6-b31b-39614f9c1f29,None,1fd94780-2644-42d6-bae5-74e6bdfa2abc,Alko Ganesh Temple,Ālko Gaṇeśa Mandira (built in 1704 CE),,आल्को गणेश मन्दिर || LAL0991,0,,27b6916c-9323-11e9-a015-0242ac120006
f84ae818-56d0-4569-9c7e-f579744c84e9,None,204170f8-e23a-4811-a8c3-aa77b9a792c6,Mahalaksmi Mandira,Mahālakṣmī Mandira,"<p>Mahālakṣmī Degaḥ</p>
",महालक्ष्मी मन्दिर ll BAL0001 ll,0,,27b6916c-9323-11e9-a015-0242ac120006
98683918-6e21-4cd3-ae54-c3cb5509eabb,None,2070b496-e729-11e9-8bc4-0242ac130002,Hauga Ganedya Phalcha,Haugaḥ Ganedyaḥ Phalcā (ca. mid-17th century CE),,हौगः गनेद्यः फल्चा || LAL4122,0,,27b6916c-9323-11e9-a015-0242ac120006
66017544-0871-4259-967e-bb00f0f8d5e4,None,20787244-8ee5-11ea-bd59-0242ac130005,Ana Bahal,Āna Bāhāḥ (1678 CE),"<p>Ānanda Vihāra (Sanskrt name)</p>

<p>Ālã Bāhāra (Document of NS 798)</p>

<p>Ārã Bāhāra&nbsp;(Document of NS 798)</p>

<p>Ānandavarṇa Vihāra (Inscription&nbsp;on Dharmadhātu Maṇḍala)</p>
",आन बाहा: || LAL0980,0,,27b6916c-9323-11e9-a015-0242ac120006
b6699baa-573a-4dc0-b7bd-72ddd6e776b9,None,20b9cf3e-f33e-11e9-a3c8-0242ac130002,Punyachandra Baha,Puṇyacandra Bāhāḥ (1942 CE),,पुण्यचन्द्र बाहा: || LAL1940,0,,27b6916c-9323-11e9-a015-0242ac120006
c7c49dee-f4bc-4b68-ad2a-13179ca69252,None,20ef6cd9-f40f-4799-8101-a9b7b824d039,Lvaha Hiti ,Lvahã Hiti,"<p>Laganakhela Hiṭī (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/QJU9835S/q/sandh"" target=""_blank""><strong>S. Khanāla</strong></a>&nbsp;VS 2068, 285)</p>

<p>Lagaṃkhyaḥhiti (information provided on a signboard)</p>
",ल्वहँ हिति||LAL2830,0,,27b6916c-9323-11e9-a015-0242ac120006
b716106a-c964-462d-b801-de860c7292f0,None,217154c2-e99f-11e9-b125-0242ac130002,Yampi Mahavihara,Yampi Mahāvihāra (8th cent. CE),"<p>Sunayaśrīmiśrasaṃskārita Yampi Mahāvihāra, Ī Bahī, Yampi Bahī</p>
",यम्पि महाविहार  || LAL1550,0,,27b6916c-9323-11e9-a015-0242ac120006
