tileid,parenttile_id,resourceinstance_id,Spatial Coordinates Geometry,sortorder,provisionaledits,nodegroup_id
6783787d-40ab-48ea-8fed-891ab1ac1ffa,None,20b9cf3e-f33e-11e9-a3c8-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3300233834654 27.67120759553223)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e689f56f-d295-4186-805f-139b3b6f8718,None,20ef6cd9-f40f-4799-8101-a9b7b824d039,GEOMETRYCOLLECTION (POINT (85.32342280133628 27.66665601744752)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
864d013f-5849-41f1-b280-f38b2b4fce14,None,217154c2-e99f-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32782863466838 27.67682653523159)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
89013540-6cc5-4b48-99e6-51c0e6a35fe5,None,21b56e2d-d3ff-4ce6-94cc-d5b85fb8a31e,GEOMETRYCOLLECTION (POINT (85.24525884004424 27.69096225188153)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
d7e6367f-39f4-473b-910b-89c984fc26cf,None,21c324c0-e763-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32471343290871 27.67423340009978)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
5aa050fc-21d8-4f74-ac96-35bbbd6369e1,None,222a5a4a-e1ef-4af0-afc9-bae7bd03d3ce,GEOMETRYCOLLECTION (POINT (85.24518455018284 27.69082672841668)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
7ff725b3-9323-4f89-a558-0237ae76cde2,None,224ae916-e8e2-11e9-8bc4-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32717981821594 27.67392199155233)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
cb7523f8-7c6f-4d94-90c6-5b3491106a71,None,2284154e-efcf-11e9-8649-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32636575311871 27.66996921248754)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
cdd57475-6b1b-4ac6-bac7-99af4580d3ae,None,2289d7b8-8b5f-438d-b783-0a0ded2f7ba6,GEOMETRYCOLLECTION (POINT (85.31983043840609 27.67446207404829)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a8431f29-30f0-4450-857c-ee9292f05331,None,2298db0e-2225-11ea-b9b1-0242ac130002,GEOMETRYCOLLECTION (POINT (85.31836635951993 27.632900920457)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
2171d657-ec1a-4a8b-8f8d-7b85665d0243,None,229c34d8-428d-11ea-b44d-0242ac130006,GEOMETRYCOLLECTION (POINT (85.30178609716626 27.62940550102532)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e5ffe376-dd8b-4aa5-b135-e4679fa77d3b,None,229dc17a-452d-4986-bf4a-4e56326009f8,GEOMETRYCOLLECTION (POINT (85.42880439106256 27.67212744460849)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
8360dfae-5d22-448a-bec4-5e6311317341,None,2306e890-198f-11ea-b74e-0242ac130002,GEOMETRYCOLLECTION (POINT (85.30164738825778 27.62993211216161)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
a146e630-0154-48fd-beb9-1147575412cd,None,234a903c-e5e0-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.32800879776673 27.67455800378856)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
bd275499-63a2-4547-8581-80848950691b,None,238d55d1-f5f6-43c4-841f-2fbd871d60f4,GEOMETRYCOLLECTION (POINT (85.3244368316312 27.66952873167947)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
40bca44f-4f57-4a55-95c7-dc5cdd21139b,None,23bdf498-e692-11e9-b125-0242ac130002,GEOMETRYCOLLECTION (POINT (85.33135637973461 27.66957294039785)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
1f325ccd-5393-465c-a381-f4ed4a3087d0,None,23d40c88-efc0-4f8d-bb17-a50f831912f3,GEOMETRYCOLLECTION (POINT (85.27648387748297 27.6793736444444)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
9912ad9a-a58e-4a55-abf3-5721d9861ba5,None,23d6e0b6-7f2d-44db-a22e-913a500a756a,GEOMETRYCOLLECTION (POINT (85.31887156633439 27.67570920040325)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
e3c1f920-0239-4ebe-866b-bdf883f718a9,None,244754e0-fa2e-11e9-8649-0242ac130002,GEOMETRYCOLLECTION (POINT (85.3225392264618 27.67616280762513)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
9036c539-b799-410c-b5ec-b78cf04b5e15,None,24779526-7b25-4512-ac56-5d503d43020a,GEOMETRYCOLLECTION (POINT (80.55396744023346 29.27763830851117)),0,,d61d682c-b0fe-11e9-8b01-0242ac120006
