tileid,parenttile_id,resourceinstance_id,Identification Number,Identifier Type,sortorder,provisionaledits,nodegroup_id
9c972c48-a539-4e52-8dcf-da3315bfeba7,None,1e2335a0-f62a-11e9-a3c8-0242ac130002,LAL0280,,0,,28294108-9323-11e9-bf23-0242ac120006
8b041c16-a218-4d82-8d14-12fc32dbea2a,None,1e4bfd8c-dc8a-11e9-81a8-0242ac140006,LAL0100,DANAM,0,,28294108-9323-11e9-bf23-0242ac120006
80fb49b7-1d80-441e-8bec-077e99d5cbce,None,1fd94780-2644-42d6-bae5-74e6bdfa2abc,LAL0991,,0,,28294108-9323-11e9-bf23-0242ac120006
cbdae51a-20de-4265-b845-1e45345eebb1,None,204170f8-e23a-4811-a8c3-aa77b9a792c6,BAL0001,,0,,28294108-9323-11e9-bf23-0242ac120006
539f5a00-fb8c-4fc5-85ef-7edba57e3a1a,None,2070b496-e729-11e9-8bc4-0242ac130002,LAL4122,,0,,28294108-9323-11e9-bf23-0242ac120006
60446f14-996b-483a-ac23-7847cc3d2415,None,20787244-8ee5-11ea-bd59-0242ac130005,Pruscha P-98,,0,,28294108-9323-11e9-bf23-0242ac120006
a798301a-b06c-43d8-aca7-7e21b7f88b92,None,20787244-8ee5-11ea-bd59-0242ac130005,LAL0980,,0,,28294108-9323-11e9-bf23-0242ac120006
f5d9a737-28d9-434f-90a0-9a9e77eeca2b,None,20b9cf3e-f33e-11e9-a3c8-0242ac130002,LAL1940,,0,,28294108-9323-11e9-bf23-0242ac120006
bec196a8-97a3-4236-acf2-7cc7a412d758,None,20ef6cd9-f40f-4799-8101-a9b7b824d039,P-283,,0,,28294108-9323-11e9-bf23-0242ac120006
ae20fae5-341d-4673-a926-f90880392930,None,20ef6cd9-f40f-4799-8101-a9b7b824d039,LAL2830,,0,,28294108-9323-11e9-bf23-0242ac120006
7cfa08bd-347c-4a93-b6e5-af0ac7e3e125,None,217154c2-e99f-11e9-b125-0242ac130002,LAL1550,,0,,28294108-9323-11e9-bf23-0242ac120006
f68813a5-411a-49ab-905e-06960da69ff8,None,21b56e2d-d3ff-4ce6-94cc-d5b85fb8a31e,BAL0002,,0,,28294108-9323-11e9-bf23-0242ac120006
24fac6a9-dc25-482f-b45d-1545d1c8a52a,None,21c324c0-e763-11e9-8bc4-0242ac130002,LAL2390,,0,,28294108-9323-11e9-bf23-0242ac120006
9cb3edd7-dbe0-43ac-beb7-88a34226f7b4,None,222a5a4a-e1ef-4af0-afc9-bae7bd03d3ce,BAL0008,,0,,28294108-9323-11e9-bf23-0242ac120006
19c04240-1a76-46f8-a464-e6d60a70edd2,None,224ae916-e8e2-11e9-8bc4-0242ac130002,LAL1730,,0,,28294108-9323-11e9-bf23-0242ac120006
46cfdef2-88fe-4f33-9c7c-7acaf33170a8,None,2284154e-efcf-11e9-8649-0242ac130002,LAL2450,,0,,28294108-9323-11e9-bf23-0242ac120006
55b5148a-ec1a-4e43-8de4-7cefac826eb8,None,2289d7b8-8b5f-438d-b783-0a0ded2f7ba6,P-52,,0,,28294108-9323-11e9-bf23-0242ac120006
c3f5dd8c-bd0c-4bf3-a30b-56e6691d6ae3,None,2289d7b8-8b5f-438d-b783-0a0ded2f7ba6,LAL0520,,0,,28294108-9323-11e9-bf23-0242ac120006
247851e6-bf90-4193-84c6-1fbef09b6384,None,2298db0e-2225-11ea-b9b1-0242ac130002,SUN4240,,0,,28294108-9323-11e9-bf23-0242ac120006
4ac400a2-1ace-4672-b559-569885df7cfd,None,229c34d8-428d-11ea-b44d-0242ac130006,BUN0008,,0,,28294108-9323-11e9-bf23-0242ac120006
6dcea4bb-3224-402e-ada7-163382db7bfd,None,229dc17a-452d-4986-bf4a-4e56326009f8,BKT0110,,0,,28294108-9323-11e9-bf23-0242ac120006
c88b469e-9a7a-44a7-82bd-54af5c85c85a,None,2306e890-198f-11ea-b74e-0242ac130002,BUN0006,,0,,28294108-9323-11e9-bf23-0242ac120006
361d0f81-f1cb-4644-9912-9fbd2d4b9805,None,234a903c-e5e0-11e9-b125-0242ac130002,LAL1610,,0,,28294108-9323-11e9-bf23-0242ac120006
6a3e462f-1552-4795-a761-59149882cddb,None,238d55d1-f5f6-43c4-841f-2fbd871d60f4,LAL4104,,0,,28294108-9323-11e9-bf23-0242ac120006
591c352e-eee5-434a-b076-1168ca6509e5,None,23bdf498-e692-11e9-b125-0242ac130002,LAL2100,,0,,28294108-9323-11e9-bf23-0242ac120006
9462d58e-feef-4b1d-b9d9-1056ee824431,None,23d40c88-efc0-4f8d-bb17-a50f831912f3,KIR0066,,0,,28294108-9323-11e9-bf23-0242ac120006
ececed58-23e0-4b83-93e8-4195f40a4458,None,23d6e0b6-7f2d-44db-a22e-913a500a756a,LAL0650,,0,,28294108-9323-11e9-bf23-0242ac120006
1021c8e2-01d6-4e3e-80d6-e39dca399561,None,244754e0-fa2e-11e9-8649-0242ac130002,LAL4207,,0,,28294108-9323-11e9-bf23-0242ac120006
5d57ff34-a4f2-46b2-8400-424396dd693e,None,24779526-7b25-4512-ac56-5d503d43020a,DDL0030,,0,,28294108-9323-11e9-bf23-0242ac120006
b781a9a0-d2c4-4a32-9c98-2282e48955a0,None,24afe176-f66a-11e9-a3c8-0242ac130002,BUN0001,,0,,28294108-9323-11e9-bf23-0242ac120006
a995ce3e-e049-4af7-a777-ae527189941b,None,2502d305-75a5-4779-b795-791971a8d437,DLK0110,,0,,28294108-9323-11e9-bf23-0242ac120006
654bb395-f4d9-420b-b191-10b9a743de2c,None,2507d356-5fc2-11ea-8083-0242ac130006,BUN0015,,0,,28294108-9323-11e9-bf23-0242ac120006
b32b1b6c-61e7-40a6-a077-0e6cc5519a2d,None,2548d9e2-ea78-11e9-b125-0242ac130002,LAL4138,,0,,28294108-9323-11e9-bf23-0242ac120006
22b4ce18-fba5-448e-b105-377966d8d4f8,None,254b0d1c-e68a-11e9-8bc4-0242ac130002,LAL4008,,0,,28294108-9323-11e9-bf23-0242ac120006
3cf11a37-eb09-4c79-8f8a-4698d8167894,None,256339d6-e9d3-11e9-8bc4-0242ac130002,LAL1280,,0,,28294108-9323-11e9-bf23-0242ac120006
71cfbeca-505e-44d2-9492-ce8c6ed0613a,None,25c65422-6b9b-11ea-8083-0242ac130006,Pruscha P-63,,0,,28294108-9323-11e9-bf23-0242ac120006
ff126ef7-1a92-4456-adbb-a45e899e0a49,None,25c65422-6b9b-11ea-8083-0242ac130006,LAL0630,,0,,28294108-9323-11e9-bf23-0242ac120006
1d0ba500-ea94-40d5-911f-f6a79946223e,None,25ef2d16-a10b-4081-bba3-7f4639646edb,KIR4020,,0,,28294108-9323-11e9-bf23-0242ac120006
1a1cee81-710a-4baf-bb40-cfe07967aaf0,None,26404afc-cb0a-11e9-b993-0242ac140002,LAL1111,DANAM,0,,28294108-9323-11e9-bf23-0242ac120006
fe7a6c27-103c-4763-8a3b-52a1a1d4c577,None,265a30ab-5d14-4b23-823d-171e8ecfedc0,DLK0017,,0,,28294108-9323-11e9-bf23-0242ac120006
400d1160-3a67-4b8a-bde5-448303b6e747,None,26daa57e-e6ae-11e9-8bc4-0242ac130002,LAL1481,,0,,28294108-9323-11e9-bf23-0242ac120006
51514436-cc13-4e7e-af0c-49d5a5aa256a,None,26e27d10-f989-11e9-a3c8-0242ac130002,LAL0451,,0,,28294108-9323-11e9-bf23-0242ac120006
5bc15e7a-a960-4f2f-bc0f-ffd1a32b8586,None,27609ec0-8feb-46bf-bde3-4392aa004e9a,MUG0050,,0,,28294108-9323-11e9-bf23-0242ac120006
10f04dcb-09d4-4674-945a-4658e72d55a6,None,276619ca-ea4f-11e9-8bc4-0242ac130002,LAL2420,,0,,28294108-9323-11e9-bf23-0242ac120006
10b73465-144b-421e-a7a4-17e8bad7fb5a,None,2775db1f-e420-45fb-8334-54dee45c5f27,KIR0026,,0,,28294108-9323-11e9-bf23-0242ac120006
66e0e3a1-68ef-4532-aee8-22c6557918bc,None,27ca1a68-e9ca-11e9-8bc4-0242ac130002,LAL4150,,0,,28294108-9323-11e9-bf23-0242ac120006
dcdf24be-ab23-4cf3-add3-afc30e267b73,None,28e34398-8dda-11ea-8e56-0242ac130005,LAL4231 ,,0,,28294108-9323-11e9-bf23-0242ac120006
4734cad1-dfa3-4739-afd6-4116b8043094,None,28f77756-69bc-11ea-8083-0242ac130006,LAL4175,,0,,28294108-9323-11e9-bf23-0242ac120006
d33591b5-bf00-4fe2-99fd-57736f24b2fb,None,2a0b1750-ee3e-11e9-8649-0242ac130002,BUN4001,,0,,28294108-9323-11e9-bf23-0242ac120006
deee7be6-99f6-41bb-8365-66237e2cf40e,None,2a1ca80c-8b69-43a0-ab19-ac6b126986ee,KIR0004,,0,,28294108-9323-11e9-bf23-0242ac120006
dd4420c8-4795-4bc3-a972-b533b4588b09,None,2a5c82ae-d073-11e9-8599-0242ac140006,LAL4105,DANAM,0,,28294108-9323-11e9-bf23-0242ac120006
80a3324b-dee6-48d5-acd0-61f867f24dc6,None,2a8e92e4-ffb7-11e9-8f3c-0242ac130002,LAL4044,,0,,28294108-9323-11e9-bf23-0242ac120006
1a650dba-d4be-42f0-be10-e9520a066150,None,2ab99c6c-e69b-11e9-8bc4-0242ac130002,LAL4141,,0,,28294108-9323-11e9-bf23-0242ac120006
ffecefa6-669c-482a-a97f-160cf87e1851,None,2acb57c3-2a55-442b-bf83-fa397fd60613,P-284,,0,,28294108-9323-11e9-bf23-0242ac120006
212ce04d-11b9-4224-908d-02cc904a5873,None,2acb57c3-2a55-442b-bf83-fa397fd60613,LAL2840,,0,,28294108-9323-11e9-bf23-0242ac120006
3e1ef0e9-0aef-4f4d-a77e-180bd09419d8,None,2af20687-0710-4883-a117-f45f941a14ff,LAL4312,,0,,28294108-9323-11e9-bf23-0242ac120006
0df24b1c-8ed1-4214-ab9f-ea98fc00184a,None,2bad144c-eaa5-11e9-8bc4-0242ac130002,LAL4184,,0,,28294108-9323-11e9-bf23-0242ac120006
3bc59b71-93ef-471b-888e-39625b8714bb,None,2c130982-5fc6-11ea-8083-0242ac130006,BUN0016,,0,,28294108-9323-11e9-bf23-0242ac120006
332e2111-e119-4274-a7cd-e6b2935d6d0b,None,2c4ddb84-f419-11e9-a3c8-0242ac130002,LAL0790,,0,,28294108-9323-11e9-bf23-0242ac120006
9b4d6321-72fb-492d-babb-1ab2fa0c582e,None,2c57e6c8-e8cb-11e9-b125-0242ac130002,LAL0850,,0,,28294108-9323-11e9-bf23-0242ac120006
7242dab5-8b2d-42b8-8894-39c5afe09afa,None,2c696054-eb48-11e9-b125-0242ac130002,LAL1540,,0,,28294108-9323-11e9-bf23-0242ac120006
afc470e0-a6d0-498a-9a61-d28d0aac2dcd,None,2c9f93f4-e832-11e9-8bc4-0242ac130002,LAL4092,,0,,28294108-9323-11e9-bf23-0242ac120006
8c4d4e8b-f76e-47f7-be81-9efe75234196,None,2db1bbc0-f156-42ec-965c-e5cc9adc8981,BAL4001,,0,,28294108-9323-11e9-bf23-0242ac120006
78f410e1-7f7e-4a92-a5a3-a50dd138a35d,None,2dca9004-e5e3-11e9-8bc4-0242ac130002,LAL0200,,0,,28294108-9323-11e9-bf23-0242ac120006
f33327f7-f6af-4280-a553-bde28546a4ce,None,2dcd0237-4d4b-4487-85f6-e9d35a365c9b,MUG0080,,0,,28294108-9323-11e9-bf23-0242ac120006
2842ded6-4610-472a-aa92-a63b126b996c,None,2e8556d8-c881-4107-914a-20f925b3f28c,LAL4021,,0,,28294108-9323-11e9-bf23-0242ac120006
96800170-760e-4225-8a84-07d063df62fc,None,2e8556d8-c881-4107-914a-20f925b3f28c,LAL4021,,0,,28294108-9323-11e9-bf23-0242ac120006
fcccc452-8744-428c-8d85-19fb539b2b77,None,2e9e454e-e4fc-11e9-b125-0242ac130002,LAL0300,,0,,28294108-9323-11e9-bf23-0242ac120006
