ResourceID,Anglicized name,Identification Number,Name in Devanagari,Name in Roman (with diacritical marks)
6cef8522-e33c-11e9-b125-0242ac130002,Pahan Baha,LAL0560,पाहाँ बाहा: || LAL0560,Pāhā̃ Bāhāḥ (1660 CE)
6d22b620-367a-4250-8a51-f1735ca86877,Than Bahi,,थँ बही ।। KAT0090,Thã Bahī
6d478768-e8f5-11e9-b125-0242ac130002,Umamaheshwar Temple,LAL1130,उमामहेश्वर मन्दिर || LAL1130,Umāmaheśvara Mandira at Kvālkhu (1803 CE)
6da9c621-521e-41d0-97b4-a3a8c2a9c960,Kedāranātha Mandira,BKT0070,केदार नाथ मन्दिर ||BKT0070,Kedāranātha Mandira
6e03bbf6-0522-11ea-8f3c-0242ac130002,Balkumari,SUN0230,बालकुमारी || SUN0230,Bālakumārī (ca. 18th cent)
6fac8c1c-e768-11e9-8bc4-0242ac130002,Ganesh Temple,LAL0171,गणेश मन्दिर |*| LAL0171,Gaṇeśa Mandira at Dau Bāhāḥ (1870s CE)
711b19a4-ec10-11e9-b125-0242ac130002,Bhinche Baha,LAL2060,भिन्छेँ बाहा: || LAL2060,Bhinchẽ Bāhāḥ (ca. 1430 CE)
7171bc5b-58ee-4d5d-9808-c118c20022de,Bhuluka (Bhulukha) Degah  aka Santaneshvara Mahadeva,KAT1150,भुलुका (भुलुखा) देगः (सन्तानेश्वर महादेव) || KAT1150,Bhulukā (Bhulukhā) Degaḥ aka Santāneśvara Mahādeva (supposedly built during the reign of King Prtāpa Malla [1639 – 1674 CE])
7195ddad-7b38-423b-b1a2-479a4ad0292c,Lokesvar Mandir ,KIR0009,लोकेश्वर मन्दिर ll KIR0009,Lokeśvara Mandira (built in 1684 CE)
71a0ee45-c6f0-4598-a938-d160e0fc7ebf,Udayadeva Temple,BTD0010,उढयडेव मन्डिर || BTD0010,Udayadeva Mandira
7212764c-e691-11e9-8bc4-0242ac130002,Taleju Bell,LAL1250,तग्वः गँ || LAL1250,Taleju Bell (13th cent. CE)
7286700f-4313-42ba-be54-d79933e086a4,Manga Hiti,LAL1360,मङ्गः हिति|| LAL1360,Maṅgaḥ Hiti (built in 570 CE)
72b92b8f-e331-4878-85d4-5aa407f60047,Chilkaya Temples,KLK0250,चिलखाया || KLK0250,Cilkhāyā Temples (ca. 16th cen.)
731bd8c6-5877-4951-bf17-efc7b7c68933,Tanani Caitya ,KIR0075,त:ननि चैत्य ll KIR0075,Taḥnani Caitya 
737cb161-8db7-4e7d-a315-4f6fdf29d047,Bahalukha Phalcha 2,LAL4244,बाहालुखा फल्चा २ || LAL4244,Bāhālukhā Phalcā 2
73f86971-d72b-42bc-8776-14acf48bfaca,Panda Baha,LAL2160,पान्द बाहा: ।। LAL2160,Pānda Bāhāḥ (1877 CE)
74ae042c-e6a8-11e9-b125-0242ac130002,Krishna Temple,LAL1240,कृष्ण च्यासिंदेगः|| LAL1240,Kṛṣṇa Cyāsĩdegaḥ (1723 CE)
75171568-d049-4c63-9fce-ddf40dc4e157,Vatsala Mandira,BKT0100,वत्साला मन्दिर ||BKT0100,Vatsalā Mandira
755714a7-16e4-4926-b93c-a906820ce3bf,Kolikhola Pillar,MUG0070,कोलिखोला खम्बा || MUG0070,Kolikholā Pillar (ca. 1357 CE)
7559d8ea-32ef-11ea-a67f-0242ac130002,Khvaya Bahi,LAL0540,ख्वाय बही तःधङ्गु || LAL0540,Khvāya Bahī Taḥdhaṅgu (16th cent.?)
75d880e6-e74f-11e9-8bc4-0242ac130002,Aki Baha,LAL0850,अकि बाहा: | | LAL0850,Aki Bāhāḥ
7605825a-b679-4eb0-a1c0-8365e6493bfa,Rara Mahadev Mandir,MUG0110,रारा महादेव मन्दिर || MUG0110,Rārā Mahādeva Mandira
76ab9a02-0244-11ea-8f3c-0242ac130002,Vajradhatu Chaitya,SUN0210, वज्रधातु चैत्य || SUN0210,Vajradhātu Caitya (ca. 19th cent. CE)
776a4b78-3709-406d-bdb5-7f65590d125d,Hanuman Pillar,KIR0057,हनुमन् स्तम्भ ll KIR0057,Hanuman Pillar
77e6fd7a-5e11-11ea-b4c2-0242ac130006,Thati Baha,LAL0030,थति बाहाः || LAL0030,Thati Bāhāḥ
781d9148-efea-47f6-bfee-3aa004bf0e43,Balkumari Dyachen ,LAL2140 ,बालकुमारी द्य:छेँ ll LAL2140,Bālakumārī Dyaḥchẽ
781f49c2-723f-11ea-b99f-0242ac130006,,LAL4199,तापा हिति फल्चा पूर्व || LAL4199,Tāpā Hiti Phalcā East (1719 CE)
78211803-598c-46df-834e-4d97356acd0c,Vamsi Narayana (Krishna) Mandira ,BKT0060,वंशी  नारायण (कृष्ण) मन्दिर ||BKT0060,Vaṃśī Nārāyaṇa (Kṛṣṇa) Mandira
786375ae-ec2d-11e9-8bc4-0242ac130002,Mati Bahacha,LAL0891,मति बाहाचा || LAL0891,Mati Bāhācā (1863 CE)
786fe3c9-b65a-4bee-9432-867ae7d7be39,Puncali Phalca - 2 ,LAL4232,पुन्चलि फल्चा - २  ll LAL4232,Puncali Phalcā - 2 (before 1716 CE)
788cd320-e6a8-11e9-8bc4-0242ac130002,Ibah Bahi,LAL2730,इबा: बही || LAL2730,Ibāḥ Bahī (1418 CE)
790c0a2a-5e10-11ea-8083-0242ac130006,South Stupa,LAL0010,अशोक स्तूप दक्षिण || LAL0010,Aśoka Stūpa South (3rd cent. BCE?)
794a1040-e665-11e9-8bc4-0242ac130002,Bhimaraja Baha,LAL2360,भीमराज बाहाः ॥ LAL2360,     Bhīmarāja Bāhāḥ (1909 CE)
7a98de01-7e10-4dff-a67f-30e3687f11a7,Matu Ajima Sattal,KAT2571,मतू अजिमा सत: || KAT2571,Matū Ajimā Sataḥ
7e809e00-cdbe-40f2-b1a8-5074e3cd0da3,Pusakota stone memorial pillars,DLK0120,पुसाकोट पाषाण स्मृतिस्तम्भहरू || DLK0120,Pusākoṭa stone memorial pillars (erected between the 13th-15th cent.)
7eb10e0c-df75-4816-b1d3-5a541d6c7d19,Lamji Pancadeval,DLK0320,लम्जी पञ्चदेवल || DLK0320,Lamjī Pañcadevala (13th-15th cent.)
7ebfcc36-6e7b-4afe-b4ca-a6b4ec2729da,Bhakteshvar Mandir,KAT2639 ,भक्तेश्वर मन्दिर ।। KAT2639,Bhakteśvara Mandira 
7ee44ac8-f17a-11e9-8649-0242ac130002,Bu Baha,,बु बाहा: || LAL0440,Bu Bāhāḥ (before 1098 CE) 
7f398f5a-a97b-4bb8-9261-b8a0cd448ae7,Vagalamukhi,LAL1070,वगलामुखी  ।। LAL1070,Vagalāmukhī
7f398f5a-a97b-4bb8-9261-b8a0cd448ae7,,P-107,,
809bbb06-e6af-11e9-b125-0242ac130002,Umamahesvara Temple,LAL1430,उमामहेश्वर मन्दिर || LAL1430,Umāmaheśvara Mandira (c. 986 CE)
80cdc8b9-422f-4a81-b2f7-3046a922e3e3,,MUG0130,खम् गैटे खम्बा || MUG0130,Kham Gaite pillar (15th cent.)
81196e13-6df7-43aa-8a21-8f6200b14b65,Dhaneshwar Mandir,KAT2638,धनेश्वर मन्दिर ।। KAT2638,Dhaneśvara Mandira (1855 CE)
81e0d744-ea9c-11e9-b125-0242ac130002,Thapa Phalcha,LAL4094,थपाः फल्चा || LAL4094,Thapāḥ Phalcā (ca. 19th cent. CE)
81f57520-f0b7-11e9-a3c8-0242ac130002,Dapha Phalca,SUN4210,दाफा फल्चा || SUN4210,Dāphā Phalcā (mid-19th century CE)
8206aa54-e8ea-11e9-b125-0242ac130002,Yoganarendra Pillar,LAL1291,योगनरेन्द्र स्तम्भ || LAL1291,Yoganarendra Stambha (1690s CE)
82776660-bee0-4f35-bb18-a88f7276afeb,Bayalkatiya Baithak,JUM0100,बयल्काठिया बैठक || JUM0100,Bayalkāṭhiyā Baiṭhak (c. 14th cent.)
828826c8-56cd-11ea-8083-0242ac130006,Lachi Phalca,BUN4003,लाछि फल्चा || BUN4003,Lāchi Phalcā
8319446f-2ea3-4d3b-8848-80f325a69132,Kimugaon Temple and Pillar,DLK0050,किमुगाउँ मन्दिर र खम्बा || DLK0050,Kimugāũ Temple and Pillar
834f87e7-78a7-4012-a388-cfe5bb6f51c7,Luti Ajima,KAT0010,लुति अजिमां ll KAT0010,Luti Ajimāṃ
83b26802-2953-4afc-baf7-e9ea63fd5fd6,Cilancva Caitya ,KIR0001,चिलन्‌च्व चैत्य ||KIR0001,Cilancva Caitya (1515 CE)
83d25607-b6cf-4031-bb2a-36e1532ced6a,Iche Chibha Phalca,,इछेँ चिभा: फल्चा || KIR4028,Ichẽ Cibhāḥ Phalcā (1698 CE)
83e736d7-89d3-4b2f-93da-fa2dc6744480,Narayana Mandir,BKT0153,नारायण मन्दिर ||BKT0153,Nārāyaṇa Mandira
85784d90-e904-11e9-8bc4-0242ac130002,Naga Baha Hiti,LAL0933,नाग बाहा: हिति || LAL0933,Nāga Bāhāḥ Hiti
85caf911-91c6-4848-84fa-0e09aef3e05d,Teta Phalcha,LAL4082,तेता फल्चा ||LAL4082,Tetā Phalcā (1920 CE)
8657bd6a-9d6b-11ea-9766-0242ac130005,Ganedhya Sata,LAL4210,गनेद्यः सतः || LAL4210,Ganedyaḥ Sataḥ
8668778f-085d-4d1c-bf8a-ed3e0e5c96e3,Adi Narayana Mandira,THK0020,आदि नारायण मन्दिर ll THK0020 ll,Ādi Nārāyaṇa Mandira
86c994be-020a-11ea-a389-0242ac130002,Kwaylachhi Phalcha  ,SUN4200,क्वय्लाछि फल्चा || SUN4200,Kvaylāchi Phalcā (1783 CE)
86caa94a-dc3f-46fb-95e1-202a709cefac,Ashoka Stupa (east),LAL2150, अशोक स्तूप (पूर्व) ||LAL2150,Aśoka Stūpa (east)
870f3118-e67b-11e9-8bc4-0242ac130002,Mu Guita Bahi,LAL1980,मू गुइत: बही || LAL1980,Mū(laṅgu) Guitaḥ Bahī (542 CE)
8720230c-b399-41b7-a0db-08f7116f4612,Santipur Phalca 1,KAT3261,शान्तिपुर फल्चा १ || KAT3261,Śāntipura Phalcā 1 (probably built in 1806 CE)
872e0e8c-f0ba-11e9-a3c8-0242ac130002,Mahādev stepwell,SUN0010,महाद्य: गा:चा || SUN0010 ,Mahādyaḥ Gāḥcā (rebuilt 2018 CE)
87486c5c-cf5a-44bc-937b-8ccff40fd44b,Dathu Hiti,LAL0995,दथु हिति || LAL0995,Dathu Hiti
8781be4e-af8f-11ea-9766-0242ac130005,Patan Dhoka ,LAL0822,पाटन ढोका || LAL0822, Patan Ḍhokā (rebuild 1934 CE)
87c885ca-8c0a-4bad-9c69-682de1e22b2e,,BKT0280,दत्तात्रय मन्दिर || BKT0280,Dattatraya Mandira
87e25c28-82d3-4774-bfb4-808e6eb07ace,Yanga Bahah,LAL2230,यङ्ग: बाहा:|| LAL2230,Yaṅgaḥ Bāhāḥ (built before 1039 CE)
88628b43-2a88-45c3-8a99-07f0d5b84cec,Kvatha Baha,LAL2560,क्वाथ बाहाः ।। LAL2560,Kvātha Bāhāḥ
88835980-3eff-48f9-8655-81f58fa018c2,Tvaya Baha,,त्वाय् बाहाः ।। LAL1840,Tvāya Bāhāḥ (built before or around 15th century)
88b72ab0-e6b3-11e9-8bc4-0242ac130002,Narasimha Temple,LAL1290,नरसिंह मन्दिर || LAL1290,Narasiṃha Mandira (1590 CE)
89ddbf0d-5d6b-4ce4-9bee-5c4403136528,Ikhanarayan Mandir,KAT0310,इखानारायण मन्दिर ।। KAT0310,Ikhānārāyaṇa Mandira
8ad6f527-a10b-4452-95dc-9d3ed9f9912d,Kvayna Sata,CHO4030,क्वय्‌ना सत: || CHO4030,Kvaynā Sataḥ (1817 CE)
8bd0dd8f-8bee-4b91-a977-d2b40db4a23c,Unmatta Bhairav,LAL1060,उन्मत्त भैरव||LAL1060,Unmatta Bhairava (ca. 1392 CE)
8bf6cc7e-e8fe-11e9-8bc4-0242ac130002,Cvache Phalca,LAL4142,च्वछेँ फल्चा || LAL4142,Cvachẽ Phalcā 
8c223fa8-fa3d-11e9-8649-0242ac130002,Dampache Chaityas in Sunaguthi,SUN0030,दम्पाछेँ चैत्यहरू  || SUN0030,Dampāchẽ Caityas (1979 CE)
8c376304-6852-48b8-a840-20e3764916b3,Test,TEST1234,Test,Test
8c5e73b9-f669-4839-b375-093e33198b93,Ilay Bahi,LAL2220,इलाय् बही ।। LAL2220,Ilāy Bahī (early 18th cent. CE)
8d7016d6-5470-11ea-b4c2-0242ac130006,Pintu Bahi,LAL0970,पिन्तु बही || LAL0970,Pintu Bahī (before 1391 CE)
8e375f65-fefc-48a6-af75-a116aefdf746,Sejuwalgaon Devala,KLK0350,सेजुवालगाउँ देवल || KLK0350,Sejuvālagāũ Devala
8e38f1ef-d6ec-4d1f-ae8f-e94e5d425013,Kuladeva Baha,LAL2590 ,कुलदेव बाहा: || LAL2590 ,Kuladeva Bāhāḥ (built in 1928 CE)
8e38f1ef-d6ec-4d1f-ae8f-e94e5d425013,,P-259,,
8eca193e-f410-11e9-8649-0242ac130002,Tadhanani Phalca,LAL4074,तःधँननि फल्चा |*| LAL4074,Taḥdhãnani Phalcā 
8eeabc38-6103-11ea-8083-0242ac130006,Atha Baha,LAL0870,अथ: बाहा: || LAL0870,Athaḥ Bāhāḥ (before 1658 CE)
8ef7a2bb-be68-438f-9902-2914c6ebc9f1,Indrayani Dyache,KIR0058,इन्द्रायणी द्य:छेँ ll KIR0058,Indrāyaṇī Dyaḥchẽ (c. 1778 CE)
8f1db6ee-e77b-11e9-8bc4-0242ac130002,Patukva Satah,LAL4182,पतुक्वा सतः || LAL4182,Patukvā Sataḥ 1 (early 17th century CE)
8f55831e-9d6d-11ea-9766-0242ac130005,Kotalachi Phalca,LAL4212,कोतलाछि फल्चा || LAL4212,Kotalāchi Phalcā
8f604b7b-bd43-493f-87e8-e36d69990ad9,Dhum Baha Chaitya,LAL1470,धुम् बहा: चैत्य ।। LAL1470,Dhum Bāhāḥ Caitya
8f604b7b-bd43-493f-87e8-e36d69990ad9,,P-147,,
8f639858-8eec-11ea-8e56-0242ac130005,Konti Bahi,LAL0101,कोन्ति बही || LAL0101,Konti  Bahī (ca. 8th cent.?)
8f639858-8eec-11ea-8e56-0242ac130005,,Pruscha P-101,,
8f7a0db3-8133-4eb5-97b0-8b0c8703aa82,Cilancva Baha,KIR0002,चिलन्‌च्व बाह: ||KIR0002,Cilancva Bāhāḥ (ca. 1515 CE)
8fa97d24-02ff-11ea-a389-0242ac130002,Jagmaru Pukku Phalca ,LAL4219, जगमरु पुखू फल्चा |*| LAL4219,Jagamaru Pukhū Phalcā 
8fe3c368-1cbc-11ea-b74e-0242ac130002,Dabu (dance platform) and temporary shrine building,BUN0003,दबू || BUN0003,Dabū (dance platform) and temporary shrine
8ffce5d6-df78-11e9-81a8-0242ac140006,Bhajan Phalcha,LAL4110,भजन फल्चा || LAL4110,Bhajana Phalcā (c. 1800s CE)
900a45b8-7fde-496b-b6c8-2bb60128983a,Lakshmishvar Mandir Pujari Ghar,KAT2631,लक्ष्मीश्वर मन्दिर पुजारी घर || KAT2631,Lakṣmīśvara Mandira Pujārī Ghara
902da6e4-6f82-42e7-95e9-8e2fc2d454fd,Caitya,LAL1831,त:धंननि चैत्य ।। LAL1831,Taḥdhaṃnani Caitya (1619 CE)
906628ca-19ff-4a2b-bc04-db34fdeec3f8,Dathu Hiti Phalcha,LAL4315,दथु हिति फल्चा || LAL4315,Dathu Hiti Phalcā (c. mid-19th. cent. CE)
908fcace-b19e-4829-b2a1-db91bb11bde6,Simhadva Phalca,KIR4004,सिंहद्वा: फल्चा || KIR4004,Siṃhadvapāḥ Phalcā (orig. 1693 CE)
90a5b5ca-e613-11e9-b125-0242ac130002,Ubaha Gathicha,LAL2270,उबाहा: गथिचा || LAL2270,Ubāhāḥ Gathicā (1660 CE)
90aa98a2-539a-11ea-b4c2-0242ac130006,Pucva Kvaya Bahi,LAL0620,पूच्व क्वय बही || LAL0620,Pūcva Kvaya Bahī
90dafade-e8d7-11e9-b125-0242ac130002,Nhu Baha,LAL0430,न्हू बाहा: || LAL0430,Nhū Bāhāḥ at Gā Bāḥāḥ (ca. 1519 CE)
91b124d2-3aa9-11ea-b44d-0242ac130006,Svanga Chibha,LAL0550,स्वंग: चिभा: || LAL0550,Svãgaḥ Cibhāḥ (renovated in 1614 CE)
922539d2-e746-11e9-8bc4-0242ac130002,Yoku Baha,LAL0190,योकु बाहा: || LAL0190,Yoku Bāhāḥ (1611 CE)
92ec797a-e91c-11e9-b125-0242ac130002,Jyaba Bahi,LAL2610,ज्याबा बही || LAL2610,Jyābā Bahī (ca. 1652 CE)
930f4862-eb68-11e9-8bc4-0242ac130002,Subahal Hiti Phalca,LAL4009,सुबाहा: हिटी फल्चा || LAL4009,Subāhāḥ Hiti Phalcā (c. late 18th cent. CE)
938935b2-b933-41bd-8fcb-d65d713daaf7,Shiva Mandir,KAT2606,शिव मन्दिर || KAT2606,Śiva Mandira (1846-1951 CE)
939ac030-e812-11e9-b125-0242ac130002,Duru Baha Nani,LAL0780,दुरु बाहा: ननि || LAL0780,Duru Bāhāḥ Nani (1677 CE)
93b01588-d2f1-11e9-8411-0242ac140006,Minnath Temple ,P-277,मीननाथ मन्दिर |*| LAL2770,Mīnanātha Mandira
93b01588-d2f1-11e9-8411-0242ac140006,,LAL2770,,
94153c04-e432-11e9-b125-0242ac130002,Vachhe Nani Bahaca,LAL0380,वछेँ ननि बाहा:चा ।*। LAL0380,Vachẽ Nani Bāhāḥcā (1909 CE)
949507c0-48a2-41d0-a136-eced941d72c3,Jayashwar Mahadev Mandir,LAL1501,जयेश्वर महादेव मन्दिर ।। LAL1501,Jayeśvara Mahādeva Mandira (built around 1877 CE)
94adf614-f3d8-11e9-a3c8-0242ac130002,Garuda Narayana Temple,LAL1214,गरुडनारायण मन्दिर || LAL1214,Garuḍanārāyaṇa Mandira
94df40ea-74d2-11ea-b4b6-0242ac130006,Tap Hiti Ganesh Phalca,LAL4202,तापा हिति गणेश फल्चा || LAL4202,Tāpā Hiti Gaṇeśa Phalcā
95211cfa-694d-4f3b-8f94-fe9191041187,Bodhikha Ganesh ,KAT0020,बोधिख गणेश ll KAT0020,Bodhikha Gaṇeśa
95846732-e5e4-11e9-b125-0242ac130002,Dupa Ganesh Temple,LAL2110,दुपा: गणेश मन्दिर || LAL2110,Dupāḥ Gaṇeśa Mandira
958fbc2c-e837-11e9-8bc4-0242ac130002,Mandapa Phalca ,LAL4221,मण्डप फल्चा|| LAL4221,Maṇḍapa Phalcā at Pimbahal (first half 17th cent. CE)
95b952e2-e8c5-11e9-8bc4-0242ac130002,Avah Capah,LAL4140,अवा: चपाः || LAL4140,Avāḥ Capāḥ (rebuilt 1995 CE)
95de5b2e-4292-11ea-b44d-0242ac130006,Licchavi Caitya,BUN0009,लिच्छवि चैत्य र स्विंस्विंद्यः || BUN0009,Licchavi Caitya and Svĩsvĩdyaḥ Shrine 
96d763ae-020a-11ea-a389-0242ac130002,Halipata Phalca,SUN4012,हलिंपताः फल्चा |*| SUN4012 ,Halĩpatāḥ Phalcā (1686 CE)
97945f3f-64f5-4560-b611-1bc997a00710,Siddhimukteshvar Mandir,KAT2637,सिद्धिमुक्तेश्वर मन्दिर ।। KAT2637,Siddhimukteśvara Mandira (1855 CE)
97c8d066-f0e6-11e9-a3c8-0242ac130002,Yachhu Baha,LAL1810, यछु बाहाः || LAL1810,Yachu Bāhāḥ (ca. 1630 CE)
97f7c7ff-da96-44f3-9841-9e708675d5b4,Siddhilaksmi Temple ,LAL2120,सिद्धिलक्ष्मी मन्दिर ||LAL2120,Siddhilakṣmī Mandira  (built before 1652 CE)
984b11da-5419-43a3-ad9c-7561a204970f,Mahalaksmi Aganchhen,BAL0003,महालक्ष्मी द्यःछेँ ll BAL0003 ,Mahālakṣmī Dyaḥchẽ (built around 17th cen.)
984b11da-5419-43a3-ad9c-7561a204970f,,Pruscha ID: C/BI-2,,
9884d7b8-e92d-11e9-8bc4-0242ac130002,Sainthu Ganesh Temple,LAL1490,सैँथु गणेश मन्दिर ||  LAL1490,Saĩthu Gaṇeśa Mandira (ca. 17th cent. CE)
989f4dde-8eee-11ea-8e56-0242ac130005,Ganesh Temple,Pruscha P-104,गणेश मन्दिर || LAL0104,Gaṇeśa Mandira (1857 CE)
989f4dde-8eee-11ea-8e56-0242ac130005,,LAL0104,,
98b92c2f-f4d6-439b-8f42-b34bab291ad4,,LAL2910,सिकाली मन्दिर || LAL2910,Sikālī Mandira
98c7b75a-e729-11e9-8bc4-0242ac130002,Bhelachen Phalcha,LAL4144,भेलाछेँ फल्चा || LAL4144,Bhelāchẽ Phalcā (reconstr. 2004 CE)
990ceb20-1c32-11ea-b9b1-0242ac130002,Chola Nani Ganesha,BUN0023,गणेशथान || BUN0023,Gaṇeśa Shrine (c. mid- 17th cent. CE)
99462054-e675-11e9-8bc4-0242ac130002,Jati Baahaa,LAL2310,जति बाहाः || LAL2310,Jati Bāhāḥ
99847ffe-f320-11e9-8649-0242ac130002,Cyasal Phalcha 4,LAL4154, च्यासल फल्चा ४ || LAL4154,Cyāsal Phalchā 4
99a444d4-6d05-42b3-8d29-d17839072d01,Bhawanishankar Mandir,LAL1802,भवानीशङ्कर मन्दिर ।। LAL1802,Bhavānīśaṅkara Mandira (built in 1676)
9c4ca4e2-c676-4da1-9a0c-f1abf393123e,Bhurti shikhara temples with pavilion,DLK0015,भुर्ती शिखर मन्दिरहरू र मण्डप || DLK0015,Bhurtī śikhara temples with pavilion (built between 14th-15th cent.)
9d4436ef-a0b8-44e1-9090-2ebc3e2a8bf0,Santipur Phalca 2,KAT3262,शान्तिपुर फल्चा २ || KAT3262,Śāntipura Phalcā 2 (built in 1959 CE)
9d5039d0-e979-11e9-8bc4-0242ac130002,Mahabuddha,LAL2340,महाबुद्ध मन्दिर || LAL2340,Mahābuddha Mandira (1601 CE)
9d50c831-722c-47b1-841d-464f04149299,Sunanda Baha,LAL1000,सुनन्द विहार ।। LAL1000,Sunanda Vihāra (built before 1624 CE)
9d50c831-722c-47b1-841d-464f04149299,,P-100,,
9df40600-ef45-4e96-a503-e51e961d4182,Mahakali Pith,BKT0170,महाकाली पीठ || BKT0170,Mahākālī Pīṭha
9e929afa-0e37-4e57-9228-d7d244a486bc,Ganesh Temple,Lal1910,गणेश मान्दिर || LAL1910,Gaṇeśa Mandira (1699 CE)
9f08a9e4-f561-11e9-a3c8-0242ac130002,Swotha Narayana,LAL1410,स्वथनारायण मन्दिर || LAL1410,Svathanārāyaṇa Mandira
9f7d86ba-e6c5-11e9-b125-0242ac130002,Ashok Stupa Phalca,LAL4155,अशोक स्तूप फल्चा || LAL4155,Aśoka Stūpa Phalcā (1929 CE)
9fce2e86-16a8-11ea-b9b1-0242ac130002,Lichchhavi Caitya,BUN0026,BUN0026 || लिच्छवि चैत्य,Licchavi Caitya (9th century)
9ff7fad8-e68b-11e9-8bc4-0242ac130002,Chidham Baha,LAL2070 ,चिधं बाहा: || LAL2070,Pilāchẽ Cidhaṃ Bāhāḥ
a0067903-e67a-4795-97b3-1e943372ca47,Lakhaypa Phalca,KIR4072,लाखय्‌पा: फल्चा || KIR4072,Lākhaypāḥ Phalcā (2019 CE)
a03c60ca-ebe9-11e9-b125-0242ac130002,Bhelakhu Baha,DANAM    LAL0230,भेलखु बाहा: || LAL0230,Bhelakhu Bāhāḥ
a0771bce-eb36-11e9-8bc4-0242ac130002,Radhakrishna Temple,KAT2600,राधाकृष्ण मन्दिर ॥ KAT2600,Rādhākṛṣṇa Mandira (1887 CE)
a07b81ab-63f4-42de-bc49-adcfcbf04639,Yatkha Baha Caitya ,KAT1051,यत्खा बाहा: चैत्य ||  KAT1051,Yatkhā Bāhāḥ Caitya
a0a959a5-3d62-4bf3-bca7-baf976e2cc2f,Chithu Bahi,KIR0008,चीथू बही ll KIR0008,Cīthū Bahī
a10c10ff-f2fb-459c-9768-9139e26a1951,Pachali Bhairava, KAT2580 ,पचली भैरव  || KAT2580 ,Pacalī Bhairava (1196 CE)
a12441fe-e7f9-11e9-b125-0242ac130002,Bhelachen Chapa,LAL4145,भेलाछेँ चपाः || LAL4145,Bhelāchẽ Capāḥ
a1557804-f13d-4f7e-ada1-29305e9296f9,Gvanga Bahah,LAL2640,ग्वंग: बाहा: ||LAL2640,Gvaṅgaḥ Bāhāḥ
a1557804-f13d-4f7e-ada1-29305e9296f9,,P-264,,
a16942b4-e65e-11e9-8bc4-0242ac130002,Karuna Chuka Bahi,LAL1560,करुणाचुक बही  || LAL1560,Karuṇācuka Bahī (c. 18th cent. CE)
a1c1839d-cf8f-4018-b603-379f40d87ee8,Koligaon Pancadeval, KLK0160 ,कोलिगाँउ पञ्चदेवल || KLK0160,Koligāũ Pañcadevala
a1c7421f-fcb4-4730-939f-f15fc0875903,,KAT3260,|| KAT3260,Śāntipura
a2b60b1a-1760-11ea-b9b1-0242ac130002,Om Baha Phalcha 2,LAL4164,ओम् बाहा: फल्चा २ || LAL4164,Om Bāhāḥ Phalcā 2 (ca. 19th cent. CE)
a3bae3af-9264-4671-9d80-011fa72505d9,Bhavanishankara Mandira,KIR0062,भवानीशङकर मन्दिर||KIR0062,Bhavānīśaṅkara Mandir (built in 1718 CE)
a423a365-f6bf-4745-9a4a-f8747e978f73,Deval Hat Temples,BTD0030,ढेवल हाट ढेवल्हरु || BTD0030,Devala Hāṭa Temples
a45fa664-3093-49ce-994b-1ab74ee2ba95,Dhauga Bahi,LAL1140,धौगा: बही ।। LAL1140,Dhaugāḥ Bahī
a467140c-6285-423d-9cd7-a1265c959907,Om Bahah Nani,P-158,ओम् बाहाः ननि ।। LAL1580,Om Bāhāḥ Nani
a467140c-6285-423d-9cd7-a1265c959907,,LAL1580,,
a4df4e50-f6f0-11e9-a3c8-0242ac130002,Kutisauga Phalca,LAL4026,कुतिसौगः फल्चा || LAL4026,Kutisaugaḥ Phalcā
a4f64b3a-176d-11ea-b9b1-0242ac130002,Tagachibha,BUN0004,तःगःचीभाः || BUN0004,Taḥgaḥcībhāḥ (Caitya) ca. 16th cent.
a51a820a-e916-11e9-b125-0242ac130002,Nhu Baha,LAL0920,न्हू बाहा: || LAL0920,Nhū Bāhāḥ at Dhalāyacā (16th cent. CE)
a5df6af2-eb05-11e9-b125-0242ac130002,Khapinchen Bhairav,LAL1780,खपिंछेँ भैरव|| LAL1780,Khapĩchẽ Bhairava Mandira (c. 1682 CE)
a675f4d9-e1f1-40b1-bf2e-07df24abffd3,Vatsala Mandira,,वत्सला मन्दिर ll BKT0093 ll,Vatsalā Mandira
a6a95118-e723-11e9-8bc4-0242ac130002,Kularatna Bihar,LAL1690,कुलरत्न विहार || LAL1690,Kularatna Vihāra (ca. 1880 CE)
a792be02-0ac6-42d1-876d-07285e738424,Ramrikada Pillar,SRK0060,राम्रीकडा खम्बा || SRK0060,Rāmrīkaḍā Pillar (around 12-14th cen.)
a79cdd22-e806-11e9-b125-0242ac130002,Nhu Baha,LAL1820,न्हू बाहा: || LAL1820,Nhū Bāhāḥ at Nugaḥ (1643 CE)
a7d6372d-28cc-4130-b01d-060b1a6800e1,Sobhabhagavati,KAT3210,शोभाभगवती || KAT3210,Śobhābhagavatī
a867501c-b232-4830-aa77-ee21f742ba92,Tanga Buina Ganedya Bhajana Phalca,LAL4103,तङ्गः बुइना गनेद्य: भजन फल्चा ||LAL4103,Taṅgaḥ Buinā Ganedyaḥ Bhajana Phalcā (built in 1916 CE)
a89893f8-eb06-11e9-8bc4-0242ac130002,Ganesh Temple ,LAL0150,गणेश मन्दिर || LAL0150,Gaṇeśa Mandira (rebuilt after 1934 CE)
a8bb767e-f54d-11e9-8649-0242ac130002,Krishna Temple,LAL1340,कृष्ण देग: ॥ LAL1340,Kṛṣṇa Degaḥ (1637 CE)
